Timestamp,1. What is your current level of education? ,2. What is your gender? ,3. What is your primary field of study? ,4. Are you a domestic or foreign (international) student? ,5.  Are you currently working full-time or part-time while studying?,6. Which mode of education do you prefer?,7. Have you taken any online courses in the past year?,8(a) . What factors influence your choice of online  education?  (select all that apply),8(b).  What factors influence your choice of offline education?  (select all that apply),"9. How do you rate the effectiveness of online education on a scale of 1 to 5 (1 being ineffective, 5 being very effective)?",10. What challenges do you face in online education?  (select all that apply),11. How often do you engage with your instructors during online courses?,12. How satisfied are you with the quality of learning materials provided in online courses?,13. Do you feel that online education provides enough opportunities for collaboration and interaction with other students?,14. What benefits do you find in offline education compared to online education?  (select all that apply),"15. How satisfied are you with the availability of learning resources (labs, libraries) in offline education? ",16. How would you rate the classroom environment in terms of engagement and participation? ,17. Do you feel more motivated to study in an offline (in-person) setting compared to an online one? , 18.  Which mode of education has helped you achieve better grades or academic results?  ,"19. In your opinion, which mode of education, online or offline, better prepares you for getting a job?""  "
11-05-2024 14:14,Graduate,Female,other,Foreign (International) student,Full-time,Offline (In-person),Yes,"Flexibility in schedule, Cost, Availability of courses, Avoiding travel/commute time","Flexibility in schedule, Cost, Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",3,"Poor internet connection, Lack of interaction with peers, Technical difficulties, Doubts remain unclear",Rarely,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), Doubt clarity",Very satisfied,Excellent,Strongly agree,Offline,Offline
11-05-2024 14:14,Graduate,Female,information & technology,Foreign (International) student,Part-time,Offline (In-person),No,"Flexibility in schedule, Convenience of location, Availability of courses, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",4,"Poor internet connection, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Very often,Neutral,Yes,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Very satisfied,Excellent,Strongly agree,Offline,Offline
11-05-2024 14:14,Graduate,Male,information & technology,Foreign (International) student,Part-time,Online,Yes,"Flexibility in schedule, Cost, Convenience of location, Quality of education",Flexibility in schedule,5,Poor internet connection,Very often,Very satisfied,Yes,Easier to focus,Very satisfied,Average,Strongly disagree,Online,Online
11-05-2024 14:15,Undergraduate,Female,data analytics,Foreign (International) student,Not working,Offline (In-person),Yes,"Flexibility in schedule, Convenience of location, Avoiding travel/commute time","Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",3,"Lack of interaction with peers, Technical difficulties",Rarely,Satisfied,No,"Better interaction with instructors, Better access to facilities (labs, libraries, etc.), Doubt clarity",Neutral,Average,Neutral,Offline,Offline
11-05-2024 14:16,Graduate,Female,science,Foreign (International) student,Not working,Offline (In-person),Yes,"Flexibility in schedule, Convenience of location, Quality of education","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",4,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Sometimes,Satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Very satisfied,Excellent,Strongly agree,Offline,Offline
11-05-2024 14:16,Graduate,Female,data analytics,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Avoiding travel/commute time","Cost, Quality of education, Face-to-face interaction with instructors and peers, Availability of courses",3,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Doubts remain unclear",Very often,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), Doubt clarity",Very satisfied,Excellent,Agree,Offline,Offline
11-05-2024 14:16,Undergraduate,Female,other,Foreign (International) student,Part-time,Offline (In-person),No,"Flexibility in schedule, Quality of education, Availability of courses","Flexibility in schedule, Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",5,"Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Never,Satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), Doubt clarity",Satisfied,Good,Strongly agree,Online,Offline
11-05-2024 14:16,Graduate,Male,information & technology,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Cost, Convenience of location, Availability of courses","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",2,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Doubts remain unclear",Never,Unsatisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), Doubt clarity",Satisfied,Excellent,Agree,Offline,Offline
11-05-2024 14:17,Graduate,Male,information & technology,Foreign (International) student,Not working,Offline (In-person),No,"Flexibility in schedule, Cost, Convenience of location, Quality of education, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time","Flexibility in schedule, Cost, Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",5,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Sometimes,Very unsatisfied,Yes,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Very unsatisfied,Very poor,Strongly disagree,Online,Offline
11-05-2024 14:17,Graduate,Male,engineering,Foreign (International) student,Not working,Online,Yes,"Flexibility in schedule, Convenience of location, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses",4,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties",Never,Neutral,Yes,"Better interaction with instructors, Doubt clarity",Very satisfied,Good,Agree,Online,Offline
11-05-2024 14:25,Graduate,Female,science,Foreign (International) student,Part-time,Offline (In-person),No,Flexibility in schedule,"Quality of education, Face-to-face interaction with instructors and peers",1,"Lack of interaction with peers, Difficulty staying motivated",Never,Unsatisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Very satisfied,Excellent,Strongly agree,Offline,Offline
11-05-2024 14:32,Graduate,Female,engineering,Foreign (International) student,Not working,Offline (In-person),No,"Flexibility in schedule, Convenience of location, Availability of courses","Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",4,"Lack of interaction with peers, Lack of access to course materials, Doubts remain unclear",Never,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Very satisfied,Excellent,Strongly agree,Offline,Offline
11-05-2024 14:39,Graduate,Female,engineering,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Convenience of location, Quality of education, Availability of courses, Avoiding travel/commute time","Flexibility in schedule, Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",5,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated",Sometimes,Satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Very satisfied,Excellent,Strongly agree,Offline,Offline
11-07-2024 20:21,Graduate,Male,data analytics,Foreign (International) student,Not working,Offline (In-person),Yes,Availability of courses,"Convenience of location, Quality of education, Face-to-face interaction with instructors and peers",2,Some courses have to be in person ,Rarely,Very unsatisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule",Very satisfied,Excellent,Strongly agree,Offline,Online
11-07-2024 22:26,Graduate,Male,information & technology,Foreign (International) student,Not working,Offline (In-person),No,"Cost, Avoiding travel/commute time","Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",2,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Rarely,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Very satisfied,Excellent,Strongly agree,Offline,Online
11-12-2024 09:26,Graduate,Female,information & technology,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Convenience of location, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers",4,"Poor internet connection, Technical difficulties",Sometimes,Neutral,Yes,"Better interaction with instructors, More engaging learning environment, Better access to facilities (labs, libraries, etc.)",Satisfied,Average,Agree,Offline,Offline
11-12-2024 09:28,Graduate,Male,data analytics,Foreign (International) student,Not working,Offline (In-person),Yes,"Flexibility in schedule, Cost, Convenience of location, Availability of courses, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",2,Doubts remain unclear,Rarely,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, More structured schedule, Doubt clarity",Neutral,Good,Agree,Offline,Offline
11-12-2024 09:33,Undergraduate,Male,engineering,Foreign (International) student,Part-time,Offline (In-person),Yes,"Quality of education, Avoiding travel/commute time","Cost, Convenience of location, Availability of courses",4,"Difficulty staying motivated, Doubts remain unclear",Rarely,Neutral,Yes,"Better interaction with instructors, More engaging learning environment, Doubt clarity",Neutral,Poor,Agree,Offline,Online
11-12-2024 09:33,Graduate,Female,information & technology,Foreign (International) student,Full-time,Offline (In-person),Yes,"Flexibility in schedule, Cost, Convenience of location, Availability of courses, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",2,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Rarely,Unsatisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Neutral,Average,Agree,Offline,Offline
11-12-2024 09:42,High School,Male,engineering,Foreign (International) student,Part-time,Online,Yes,Flexibility in schedule,Flexibility in schedule,1,Lack of access to course materials,Rarely,Satisfied,Yes,More engaging learning environment,Very satisfied,Excellent,Strongly agree,Online,Online
11-12-2024 09:46,Graduate,Female,information & technology,Foreign (International) student,Not working,Offline (In-person),Yes,"Flexibility in schedule, Cost, Quality of education, Availability of courses","Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",4,"Lack of interaction with peers, Difficulty staying motivated",Very often,Neutral,Yes,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Neutral,Good,Agree,Offline,Online
11-12-2024 09:49,Graduate,Female,other,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Convenience of location","Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",3,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties",Sometimes,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, More structured schedule, Doubt clarity",Very satisfied,Excellent,Strongly agree,Offline,Offline
11-12-2024 09:52,Graduate,Male,arts,Domestic student,Full-time,Offline (In-person),Yes,"Flexibility in schedule, Convenience of location, Quality of education, Interaction with peers/instructors","Cost, Quality of education, Face-to-face interaction with instructors and peers",3,"Lack of interaction with peers, Doubts remain unclear",Rarely,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule",Satisfied,Good,Agree,Offline,Offline
11-12-2024 09:54,Graduate,Male,information & technology,Foreign (International) student,Not working,Offline (In-person),Yes,"Convenience of location, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",3,"Lack of interaction with peers, Difficulty staying motivated",Sometimes,Satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), Doubt clarity",Very satisfied,Excellent,Strongly agree,Offline,Offline
11-12-2024 09:54,Graduate,Male,engineering,Foreign (International) student,Not working,Online,Yes,"Flexibility in schedule, Convenience of location, Availability of courses, Avoiding travel/commute time","Flexibility in schedule, Cost, Availability of courses",5,"Lack of interaction with peers, Lack of access to course materials",Sometimes,Very satisfied,Yes,"Easier to focus, Better access to facilities (labs, libraries, etc.), More structured schedule",Very satisfied,Excellent,Neutral,Online,Online
11-12-2024 09:54,Graduate,Female,information & technology,Foreign (International) student,Part-time,Offline (In-person),No,"Flexibility in schedule, Convenience of location, Interaction with peers/instructors","Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",4,"Poor internet connection, Technical difficulties",Very often,Satisfied,Yes,"More engaging learning environment, Better access to facilities (labs, libraries, etc.)",Satisfied,Good,Neutral,Offline,Offline
11-12-2024 09:56,Graduate,Male,information & technology,Foreign (International) student,Part-time,Online,No,"Flexibility in schedule, Convenience of location, Avoiding travel/commute time","Cost, Face-to-face interaction with instructors and peers",4,Doubts remain unclear,Rarely,Neutral,Yes,Better interaction with instructors,Neutral,Average,Neutral,Online,Online
11-12-2024 09:59,Graduate,Female,information & technology,Foreign (International) student,Part-time,Offline (In-person),No,Avoiding travel/commute time,"Quality of education, Face-to-face interaction with instructors and peers",2,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Rarely,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Satisfied,Average,Strongly agree,Offline,Offline
11-12-2024 10:22,High School,Male,business,Foreign (International) student,Not working,Offline (In-person),Yes,"Flexibility in schedule, Cost, Quality of education, Interaction with peers/instructors","Flexibility in schedule, Cost, Convenience of location, Quality of education, Availability of courses",3,"Lack of interaction with peers, Difficulty staying motivated, Lack of access to course materials, Doubts remain unclear",Rarely,Unsatisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, More structured schedule",Neutral,Good,Agree,Offline,Offline
11-12-2024 10:36,Graduate,Male,commerce,Foreign (International) student,Full-time,Offline (In-person),Yes,"Convenience of location, Quality of education","Flexibility in schedule, Convenience of location, Quality of education",4,"Poor internet connection, Lack of interaction with peers, Doubts remain unclear",Sometimes,Neutral,Yes,Convince ,Neutral,Good,Strongly agree,Online,Online
11-12-2024 10:39,Graduate,Female,other,Foreign (International) student,Part-time,Online,Yes,"Flexibility in schedule, Convenience of location, Interaction with peers/instructors, Avoiding travel/commute time",Availability of courses,5,"Technical difficulties, Lack of access to course materials",Very often,Very satisfied,Yes,"Better access to facilities (labs, libraries, etc.)",Unsatisfied,Poor,Strongly disagree,Online,Online
11-12-2024 10:39,Graduate,Female,other,Foreign (International) student,Not working,Offline (In-person),No,Avoiding travel/commute time,"Quality of education, Face-to-face interaction with instructors and peers, Availability of courses",3,"Lack of interaction with peers, Difficulty staying motivated",Never,Neutral,No,"Better interaction with instructors, Easier to focus",Very satisfied,Good,Strongly agree,Offline,Offline
11-12-2024 10:42,Graduate,Male,business,Foreign (International) student,Part-time,Online,Yes,"Flexibility in schedule, Cost, Convenience of location, Avoiding travel/commute time","Flexibility in schedule, Quality of education, Face-to-face interaction with instructors and peers",5,"Poor internet connection, Technical difficulties",Sometimes,Neutral,No,"Better interaction with instructors, Better access to facilities (labs, libraries, etc.)",Neutral,Good,Agree,Online,Online
11-12-2024 10:50,Graduate,Female,arts,Foreign (International) student,Not working,Offline (In-person),No,"Flexibility in schedule, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers",1,"Lack of interaction with peers, Doubts remain unclear",Never,Very unsatisfied,No,"More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Satisfied,Good,Agree,Offline,Offline
11-12-2024 10:51,Undergraduate,Male,other,Domestic student,Part-time,Offline (In-person),No,"Quality of education, Interaction with peers/instructors","Flexibility in schedule, Quality of education, Face-to-face interaction with instructors and peers",1,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials",Never,Very unsatisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule",Very unsatisfied,Excellent,Strongly disagree,Offline,Offline
11-12-2024 10:57,Undergraduate,Male,arts,Foreign (International) student,Part-time,Offline (In-person),No,"Flexibility in schedule, Convenience of location","Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",3,Difficulty staying motivated,Never,Neutral,Yes,"Better access to facilities (labs, libraries, etc.)",Satisfied,Excellent,Strongly agree,Offline,Online
11-12-2024 11:01,Graduate,Female,information & technology,Foreign (International) student,Not working,Offline (In-person),No,"Flexibility in schedule, Cost","Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",1,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Rarely,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Satisfied,Good,Strongly agree,Offline,Offline
11-12-2024 11:24,Graduate,Male,business,Foreign (International) student,Part-time,Online,No,"Flexibility in schedule, Convenience of location, Availability of courses","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses",4,"Lack of interaction with peers, Technical difficulties",Very often,Satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.)",Very satisfied,Excellent,Agree,Offline,Offline
11-12-2024 11:30,Graduate,Male,business,Foreign (International) student,Not working,Offline (In-person),Yes,Forced on me by the school,Face-to-face interaction with instructors and peers,1,Difficulty staying motivated,Rarely,Neutral,No,More engaging learning environment,Very satisfied,Excellent,Strongly agree,Offline,Offline
11/13/2024 13:01:27,Undergraduate,Female,business,Foreign (International) student,Part-time,Offline (In-person),No,"Flexibility in schedule, Convenience of location, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time","Flexibility in schedule, Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",4,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Sometimes,Neutral,Yes,"Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Very satisfied,Excellent,Strongly agree,Offline,Offline
11/13/2024 13:10:49,Graduate,Male,engineering,Domestic student,Full-time,Offline (In-person),No,"Convenience of location, Quality of education, Interaction with peers/instructors","Quality of education, Availability of courses, Prefer in-person exams and assessments",4,"Difficulty staying motivated, Lack of access to course materials",Sometimes,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Satisfied,Good,Strongly agree,Offline,Offline
11/13/2024 13:35:28,Graduate,Male,engineering,Foreign (International) student,Full-time,Online,Yes,"Flexibility in schedule, Cost, Convenience of location, Quality of education, Interaction with peers/instructors, Availability of courses, Avoiding travel/commute time",Quality of education,5,Poor internet connection,Rarely,Satisfied,Yes,"Better access to facilities (labs, libraries, etc.)",Satisfied,Average,Disagree,Online,Online
11/13/2024 13:50:25,Graduate,Female,commerce,Domestic student,Not working,Offline (In-person),Yes,"Flexibility in schedule, Convenience of location, Avoiding travel/commute time","Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",3,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Rarely,Neutral,No,"Better interaction with instructors, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Neutral,Good,Agree,Offline,Offline
11/13/2024 14:39:50,Undergraduate,Female,information & technology,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Cost, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",3,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated",Rarely,Satisfied,No,"Better interaction with instructors, More engaging learning environment, Better access to facilities (labs, libraries, etc.), Doubt clarity",Satisfied,Good,Strongly agree,Offline,Offline
11/13/2024 14:40:48,Graduate,Female,medical,Foreign (International) student,Full-time,Offline (In-person),Yes,"Flexibility in schedule, Cost, Avoiding travel/commute time","Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",4,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated",Sometimes,Satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule",Very satisfied,Excellent,Agree,Offline,Offline
11/13/2024 14:49:51,Graduate,Male,commerce,Foreign (International) student,Part-time,Offline (In-person),No,"Flexibility in schedule, Availability of courses, Avoiding travel/commute time",Quality of education,5,"Poor internet connection, Technical difficulties, Doubts remain unclear",Sometimes,Very satisfied,No,"More engaging learning environment, Better access to facilities (labs, libraries, etc.)",Neutral,Excellent,Strongly agree,Online,Online
11/13/2024 14:50:09,Undergraduate,Male,science,Foreign (International) student,Not working,Online,Yes,Flexibility in schedule,Flexibility in schedule,5,Poor internet connection,Very often,Very satisfied,No,"Better access to facilities (labs, libraries, etc.)",Very satisfied,Excellent,Strongly agree,Online,Online
11/13/2024 14:53:06,Graduate,Male,commerce,Foreign (International) student,Part-time,Offline (In-person),Yes,"Flexibility in schedule, Convenience of location, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers",3,"Lack of interaction with peers, Technical difficulties",Sometimes,Neutral,No,"Better interaction with instructors, More engaging learning environment, Doubt clarity",Satisfied,Good,Agree,Offline,Offline
11/13/2024 14:55:43,Undergraduate,Female,science,Foreign (International) student,Not working,Offline (In-person),Yes,"Flexibility in schedule, Cost, Convenience of location, Availability of courses","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses",3,"Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Doubts remain unclear",Sometimes,Satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.)",Very satisfied,Good,Strongly agree,Online,Offline
11/13/2024 14:56:03,Graduate,Female,information & technology,Foreign (International) student,Not working,Offline (In-person),Yes,Avoiding travel/commute time,"Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",3,"Poor internet connection, Doubts remain unclear",Never,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), Doubt clarity",Very satisfied,Good,Agree,Offline,Offline
11/13/2024 15:00:09,Graduate,Male,information & technology,Foreign (International) student,Part-time,Online,Yes,"Convenience of location, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses",5,"Poor internet connection, Technical difficulties",Very often,Very satisfied,Yes,"Better interaction with instructors, Easier to focus, Doubt clarity",Very satisfied,Excellent,Strongly agree,Online,Online
11/13/2024 15:01:37,Graduate,Male,information & technology,Foreign (International) student,Not working,Offline (In-person),No,"Flexibility in schedule, Cost, Convenience of location, Availability of courses, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",3,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Sometimes,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Satisfied,Good,Strongly agree,Offline,Offline
11/13/2024 15:01:58,Graduate,Female,business,Foreign (International) student,Not working,Offline (In-person),No,Quality of education,Prefer in-person exams and assessments,2,Lack of interaction with peers,Rarely,Neutral,No,More structured schedule,Neutral,Excellent,Neutral,Offline,Offline
11/13/2024 15:03:52,Undergraduate,Female,arts,Foreign (International) student,Part-time,Offline (In-person),Yes,Convenience of location,"Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",2,"Poor internet connection, Difficulty staying motivated, Technical difficulties",Sometimes,Satisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.)",Satisfied,Good,Agree,Offline,Offline
11/13/2024 15:09:18,High School,Male,arts,Foreign (International) student,Part-time,Online,Yes,"Flexibility in schedule, Cost, Convenience of location, Quality of education, Interaction with peers/instructors, Avoiding travel/commute time","Flexibility in schedule, Cost, Quality of education, Prefer in-person exams and assessments",4,"Poor internet connection, Difficulty staying motivated, Technical difficulties",Very often,Very satisfied,Yes,"Better interaction with instructors, Easier to focus, More engaging learning environment",Very satisfied,Good,Strongly agree,Online,Online
11/13/2024 15:45:13,Undergraduate,Male,business,Foreign (International) student,Full-time,Offline (In-person),Yes,"Flexibility in schedule, Availability of courses",Quality of education,3,"Difficulty staying motivated, Doubts remain unclear",Sometimes,Satisfied,Yes,More engaging learning environment,Very satisfied,Good,Agree,Offline,Offline
11/13/2024 15:48:16,High School,Male,medical,Domestic student,Full-time,Online,Yes,Cost,Convenience of location,4,Difficulty staying motivated,Sometimes,Satisfied,Yes,More engaging learning environment,Satisfied,Average,Agree,Offline,Online
11/13/2024 16:05:13,Graduate,Male,business,Foreign (International) student,Full-time,Online,Yes,"Flexibility in schedule, Cost, Quality of education, Availability of courses","Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",5,"Lack of interaction with peers, Difficulty staying motivated",Very often,Very satisfied,Yes,"Better access to facilities (labs, libraries, etc.)",Very satisfied,Excellent,Strongly agree,Online,Online
11/13/2024 16:05:39,Undergraduate,Female,business,Foreign (International) student,Part-time,Online,Yes,Avoiding travel/commute time,"Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",4,Doubts remain unclear,Sometimes,Satisfied,No,"Better interaction with instructors, More engaging learning environment, Better access to facilities (labs, libraries, etc.)",Very satisfied,Excellent,Neutral,Online,Offline
11/13/2024 16:06:41,Undergraduate,Female,medical,Foreign (International) student,Not working,Online,Yes,"Flexibility in schedule, Convenience of location, Avoiding travel/commute time","Quality of education, Face-to-face interaction with instructors and peers",4,"Difficulty staying motivated, Doubts remain unclear",Rarely,Satisfied,Yes,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), Doubt clarity",Neutral,Good,Agree,Offline,Offline
11/13/2024 16:07:57,Undergraduate,Male,business,Domestic student,Part-time,Offline (In-person),Yes,"Quality of education, Interaction with peers/instructors","Quality of education, Face-to-face interaction with instructors and peers",1,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Never,Very unsatisfied,No,I don’t think there are any ,Satisfied,Good,Agree,Offline,Offline
11/13/2024 16:08:20,Graduate,Male,engineering,Foreign (International) student,Not working,Offline (In-person),No,Not like online,"Flexibility in schedule, Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Availability of courses, Prefer in-person exams and assessments",1,"Poor internet connection, Lack of interaction with peers, Difficulty staying motivated, Technical difficulties, Lack of access to course materials, Doubts remain unclear",Never,Very unsatisfied,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, Better access to facilities (labs, libraries, etc.), More structured schedule, Doubt clarity",Very satisfied,Excellent,Strongly agree,Offline,Offline
11/13/2024 16:08:55,Undergraduate,Male,other,Domestic student,Full-time,Offline (In-person),Yes,Quality of education,"Convenience of location, Quality of education, Face-to-face interaction with instructors and peers, Prefer in-person exams and assessments",3,"Lack of interaction with peers, Difficulty staying motivated",Rarely,Neutral,No,"Better interaction with instructors, Easier to focus, More engaging learning environment, More structured schedule",Satisfied,Average,Agree,Offline,Offline
